dataset,batch_size,technique,accuracy,precision,recall,f1,num_drifts,num_batches,auc,drift_alignment_with_batch,scenario,type_of_dataset,algorithm
Abrupt (bal.),1000,Base,0.4707198759782962,0.5099746411301055,0.4707198759782962,0.4581843822761067,0,79,0.5635200723925351,N/A,N/A,N/A,NB
Abrupt (bal.),1000,KS95,0.5295926787187758,0.5413038877930243,0.5295926787187758,0.5221502412737354,43,79,0.5707548490928153,N/A,N/A,N/A,NB
Abrupt (bal.),1000,KS90,0.533718400720126,0.5464497376514982,0.533718400720126,0.5271637154581124,46,79,0.5576504231950741,N/A,N/A,N/A,NB
Abrupt (bal.),1000,HD,0.47428299952491687,0.47870608650887264,0.47428299952491687,0.46355899997399885,19,79,0.5934923594000866,N/A,N/A,N/A,NB
Abrupt (bal.),1000,JS,0.47428299952491687,0.47870608650887264,0.47428299952491687,0.46355899997399885,19,79,0.5934923594000866,N/A,N/A,N/A,NB
Abrupt (bal.),1500,Base,0.4564923861675793,0.4990693679287776,0.4564923861675793,0.4445994516445852,0,53,0.569532876752419,N/A,N/A,N/A,NB
Abrupt (bal.),1500,KS95,0.474370514840097,0.47160020914631456,0.474370514840097,0.46434535571557345,38,53,0.5905435078923674,N/A,N/A,N/A,NB
Abrupt (bal.),1500,KS90,0.474370514840097,0.47158312209869385,0.474370514840097,0.46438768083527476,39,53,0.5905742480254726,N/A,N/A,N/A,NB
Abrupt (bal.),1500,HD,0.40999674943115044,0.4094777370026917,0.40999674943115044,0.4018074310229087,13,53,0.6082337460589622,N/A,N/A,N/A,NB
Abrupt (bal.),1500,JS,0.40999674943115044,0.4094777370026917,0.40999674943115044,0.4018074310229087,13,53,0.6082337460589622,N/A,N/A,N/A,NB
Abrupt (bal.),2000,Base,0.45184157227514815,0.49191710208721035,0.45184157227514815,0.43512635152882584,0,39,0.5778911195064117,N/A,N/A,N/A,NB
Abrupt (bal.),2000,KS95,0.4318505738504238,0.4257501764474136,0.4318505738504238,0.41806125386760873,31,39,0.6419771052012716,N/A,N/A,N/A,NB
Abrupt (bal.),2000,KS90,0.4318505738504238,0.4257501764474136,0.4318505738504238,0.41806125386760873,31,39,0.6419771052012716,N/A,N/A,N/A,NB
Abrupt (bal.),2000,HD,0.3690770884904858,0.35259761543137713,0.3690770884904858,0.3483482321513487,14,39,0.6425205500153135,N/A,N/A,N/A,NB
Abrupt (bal.),2000,JS,0.3690770884904858,0.35259761543137713,0.3690770884904858,0.3483482321513487,14,39,0.6425205500153135,N/A,N/A,N/A,NB
Abrupt (bal.),2500,Base,0.4415772760233041,0.48329719497142765,0.4415772760233041,0.424324266667093,0,31,0.5874753483179788,N/A,N/A,N/A,NB
Abrupt (bal.),2500,KS95,0.39060585602480435,0.37490436431636276,0.39060585602480435,0.37438597680574304,27,31,0.6456493396208562,N/A,N/A,N/A,NB
Abrupt (bal.),2500,KS90,0.3885054884604806,0.3731260467419344,0.3885054884604806,0.37268624881698775,28,31,0.6448697556653467,N/A,N/A,N/A,NB
Abrupt (bal.),2500,HD,0.3132548195934288,0.3115019773612659,0.3132548195934288,0.2877750720970305,6,31,0.6273604543836204,N/A,N/A,N/A,NB
Abrupt (bal.),2500,JS,0.3132548195934288,0.3115019773612659,0.3132548195934288,0.2877750720970305,6,31,0.6273604543836204,N/A,N/A,N/A,NB
