dataset,batch_size,technique,accuracy,precision,recall,f1,num_drifts,num_batches,auc,drift_alignment_with_batch,scenario,type_of_dataset,algorithm
Incremental (imbal.),1000,Base,0.4341612763359319,0.46534230786182595,0.4341612763359319,0.34398164079842336,0,452,0.5519123130997832,N/A,N/A,N/A,NB
Incremental (imbal.),1000,KS95,0.5697675447522808,0.5972395916949953,0.5697675447522808,0.5200987829344513,47,452,0.514369855301401,N/A,N/A,N/A,NB
Incremental (imbal.),1000,KS90,0.5684446646786596,0.5846503402974478,0.5684446646786596,0.5195627397956376,68,452,0.5131906638918794,N/A,N/A,N/A,NB
Incremental (imbal.),1000,HD,0.5700661882471618,0.600408249997811,0.5700661882471618,0.5189431910558807,22,452,0.5206495369199877,N/A,N/A,N/A,NB
Incremental (imbal.),1000,JS,0.570466591747706,0.6006141905720734,0.570466591747706,0.5194577608975293,23,452,0.5198102390595785,N/A,N/A,N/A,NB
Incremental (imbal.),1500,Base,0.43397987806496713,0.4648521860243333,0.43397987806496713,0.3446912571893626,0,301,0.5524783406291325,N/A,N/A,N/A,NB
Incremental (imbal.),1500,KS95,0.5702564352142712,0.5961537276109875,0.5702564352142712,0.5210803367356289,33,301,0.516559038109834,N/A,N/A,N/A,NB
Incremental (imbal.),1500,KS90,0.5673275167904009,0.5882468773056514,0.5673275167904009,0.5182863238919204,45,301,0.5149913514345246,N/A,N/A,N/A,NB
Incremental (imbal.),1500,HD,0.564801214041111,0.5956682512907967,0.564801214041111,0.5118572887122872,16,301,0.5270931692941541,N/A,N/A,N/A,NB
Incremental (imbal.),1500,JS,0.564801214041111,0.5956682512907967,0.564801214041111,0.5118572887122872,16,301,0.5270931692941541,N/A,N/A,N/A,NB
Incremental (imbal.),2000,Base,0.43321446584845724,0.46139996091190605,0.43321446584845724,0.34394448390179366,0,226,0.5526190184083972,N/A,N/A,N/A,NB
Incremental (imbal.),2000,KS95,0.5659117254072612,0.5858027699819325,0.5659117254072612,0.5146050786037356,41,226,0.5221093215037214,N/A,N/A,N/A,NB
Incremental (imbal.),2000,KS90,0.5664116767394325,0.586814385967587,0.5664116767394325,0.5162572302286631,53,226,0.5211519378958656,N/A,N/A,N/A,NB
Incremental (imbal.),2000,HD,0.5607418746847652,0.593205199822836,0.5607418746847652,0.5076723064695691,18,226,0.5252838120564023,N/A,N/A,N/A,NB
Incremental (imbal.),2000,JS,0.5613944660254312,0.5939711632802496,0.5613944660254312,0.5081392171634197,17,226,0.5285716631131132,N/A,N/A,N/A,NB
Incremental (imbal.),2500,Base,0.43154206227712344,0.48798816306488996,0.43154206227712344,0.3429824912152844,0,180,0.5530144969687,N/A,N/A,N/A,NB
Incremental (imbal.),2500,KS95,0.5587597667483696,0.5672815570924102,0.5587597667483696,0.508985883129224,41,180,0.5228187615440257,N/A,N/A,N/A,NB
Incremental (imbal.),2500,KS90,0.5590097424144552,0.5660645520100539,0.5590097424144552,0.5093895830274978,47,180,0.5203241896474498,N/A,N/A,N/A,NB
Incremental (imbal.),2500,HD,0.5519462707170099,0.5813573800948744,0.5519462707170099,0.49837270666298106,19,180,0.534499560385383,N/A,N/A,N/A,NB
Incremental (imbal.),2500,JS,0.5519462707170099,0.5813573800948744,0.5519462707170099,0.49837270666298106,19,180,0.534499560385383,N/A,N/A,N/A,NB
