dataset,batch_size,technique,accuracy,precision,recall,f1,num_drifts,num_batches,auc,drift_alignment_with_batch,scenario,type_of_dataset,algorithm
Incremental-gradual (imbal.),1000,Base,0.48480704422876997,0.5114483405416774,0.48480704422876997,0.4661186844993004,0,143,0.47388742423463875,N/A,N/A,N/A,NB
Incremental-gradual (imbal.),1000,KS95,0.5930939207245174,0.5916775944022947,0.5930939207245174,0.5504227973984187,21,143,0.43988340822878136,N/A,N/A,N/A,NB
Incremental-gradual (imbal.),1000,KS90,0.5930729889829267,0.6216234792192024,0.5930729889829267,0.5516954014092484,26,143,0.4368847456942755,N/A,N/A,N/A,NB
Incremental-gradual (imbal.),1000,HD,0.5913147226893102,0.5899594510987721,0.5913147226893102,0.5482937971662094,10,143,0.43670113516470466,N/A,N/A,N/A,NB
Incremental-gradual (imbal.),1000,JS,0.591133314262191,0.58961031112713,0.591133314262191,0.5481961217689018,11,143,0.4360470503602487,N/A,N/A,N/A,NB
Incremental-gradual (imbal.),1500,Base,0.4830906414183348,0.5099587636239554,0.4830906414183348,0.46445672933559284,0,95,0.47476224624347085,N/A,N/A,N/A,NB
Incremental-gradual (imbal.),1500,KS95,0.5837374322334866,0.58042459909205,0.5837374322334866,0.5426765151019353,18,95,0.436919365779211,N/A,N/A,N/A,NB
Incremental-gradual (imbal.),1500,KS90,0.5832071614465228,0.5808976041476169,0.5832071614465228,0.5421464369265325,21,95,0.4369079887613888,N/A,N/A,N/A,NB
Incremental-gradual (imbal.),1500,HD,0.5871841923487507,0.5872700403218692,0.5871841923487507,0.5446034104011429,10,95,0.4419099083477708,N/A,N/A,N/A,NB
Incremental-gradual (imbal.),1500,JS,0.5877284176301082,0.5878886937337562,0.5877284176301082,0.5450453368962537,11,95,0.43975082755439565,N/A,N/A,N/A,NB
Incremental-gradual (imbal.),2000,Base,0.48133935237191516,0.5087076925067133,0.48133935237191516,0.4627904048443949,0,71,0.47597315602231194,N/A,N/A,N/A,NB
Incremental-gradual (imbal.),2000,KS95,0.5812674867257872,0.6037235773782339,0.5812674867257872,0.5407657882703243,19,71,0.43681429601800176,N/A,N/A,N/A,NB
Incremental-gradual (imbal.),2000,KS90,0.5864794903818648,0.6079467482314742,0.5864794903818648,0.5456379154025913,21,71,0.4407669433697296,N/A,N/A,N/A,NB
Incremental-gradual (imbal.),2000,HD,0.5690293951424406,0.570648452693032,0.5690293951424406,0.5284217792582314,11,71,0.4455368173097548,N/A,N/A,N/A,NB
Incremental-gradual (imbal.),2000,JS,0.5690293951424406,0.570648452693032,0.5690293951424406,0.5284217792582314,11,71,0.4455368173097548,N/A,N/A,N/A,NB
Incremental-gradual (imbal.),2500,Base,0.47936479141519506,0.5069006341437776,0.47936479141519506,0.46086456492409966,0,57,0.4771051574377082,N/A,N/A,N/A,NB
Incremental-gradual (imbal.),2500,KS95,0.5808209429051862,0.5779585369718283,0.5808209429051862,0.5401653740348418,15,57,0.44062335827292676,N/A,N/A,N/A,NB
Incremental-gradual (imbal.),2500,KS90,0.5866818305505745,0.5830780877552381,0.5866818305505745,0.5453377962736107,18,57,0.4341304856012826,N/A,N/A,N/A,NB
Incremental-gradual (imbal.),2500,HD,0.5700899367163679,0.5729672921910263,0.5700899367163679,0.5291210531496214,8,57,0.46345722676869766,N/A,N/A,N/A,NB
Incremental-gradual (imbal.),2500,JS,0.5700899367163679,0.5729672921910263,0.5700899367163679,0.5291210531496214,8,57,0.46345722676869766,N/A,N/A,N/A,NB
