dataset,batch_size,technique,accuracy,precision,recall,f1,num_drifts,num_batches,auc,drift_alignment_with_batch,scenario,type_of_dataset,algorithm
Incremental-reoccurring (bal.),1000,Base,0.3460980671617533,0.39990334995933446,0.3460980671617533,0.3354701123563177,0,79,0.5706558380669884,N/A,N/A,N/A,NB
Incremental-reoccurring (bal.),1000,KS95,0.5196159327882379,0.5362266422157305,0.5196159327882379,0.5189692057073176,42,79,0.527476945026778,N/A,N/A,N/A,NB
Incremental-reoccurring (bal.),1000,KS90,0.5245042882504438,0.5393156175692081,0.5245042882504438,0.5229236162553376,45,79,0.5204793912222465,N/A,N/A,N/A,NB
Incremental-reoccurring (bal.),1000,HD,0.48307203760658113,0.4847536393501707,0.48307203760658113,0.4808113788218383,17,79,0.5679386758934408,N/A,N/A,N/A,NB
Incremental-reoccurring (bal.),1000,JS,0.47668341959842975,0.4791018293933062,0.47668341959842975,0.4751090905653195,19,79,0.5664477828140215,N/A,N/A,N/A,NB
Incremental-reoccurring (bal.),1500,Base,0.3312579701447753,0.3850711756716505,0.3312579701447753,0.32133346754420883,0,53,0.578088477012995,N/A,N/A,N/A,NB
Incremental-reoccurring (bal.),1500,KS95,0.48184682319405897,0.4854255323426769,0.48184682319405897,0.4783468345937037,36,53,0.5437440545794412,N/A,N/A,N/A,NB
Incremental-reoccurring (bal.),1500,KS90,0.4793088790538344,0.48323774861136065,0.4793088790538344,0.4759491001947137,39,53,0.5426857983471689,N/A,N/A,N/A,NB
Incremental-reoccurring (bal.),1500,HD,0.40445828019903485,0.4193508675555684,0.40445828019903485,0.4015273226980684,10,53,0.5850156408081789,N/A,N/A,N/A,NB
Incremental-reoccurring (bal.),1500,JS,0.3957692596204336,0.41421358377683704,0.3957692596204336,0.39328071273867404,9,53,0.5847275883736484,N/A,N/A,N/A,NB
Incremental-reoccurring (bal.),2000,Base,0.32641962343410097,0.37254897852789126,0.32641962343410097,0.3116473774294918,0,39,0.5880290190232695,N/A,N/A,N/A,NB
Incremental-reoccurring (bal.),2000,KS95,0.4729077588578001,0.4808531814355842,0.4729077588578001,0.46897242301501224,33,39,0.5596202152494683,N/A,N/A,N/A,NB
Incremental-reoccurring (bal.),2000,KS90,0.4740954667066737,0.4837946865371318,0.4740954667066737,0.47110124744653226,35,39,0.5473386745238364,N/A,N/A,N/A,NB
Incremental-reoccurring (bal.),2000,HD,0.39463156052309156,0.4036321396507238,0.39463156052309156,0.3905949668663913,10,39,0.6063361407052025,N/A,N/A,N/A,NB
Incremental-reoccurring (bal.),2000,JS,0.4238741779811467,0.4130727520085639,0.4238741779811467,0.41240174566462795,15,39,0.6150085253367317,N/A,N/A,N/A,NB
Incremental-reoccurring (bal.),2500,Base,0.32205635986297604,0.37218795922314796,0.32205635986297604,0.3087719924602728,0,31,0.59565387411404,N/A,N/A,N/A,NB
Incremental-reoccurring (bal.),2500,KS95,0.4338884304753332,0.4335339866017592,0.4338884304753332,0.42924276522658805,26,31,0.5941429068217611,N/A,N/A,N/A,NB
Incremental-reoccurring (bal.),2500,KS90,0.4338884304753332,0.4335339866017592,0.4338884304753332,0.42924276522658805,26,31,0.5941429068217611,N/A,N/A,N/A,NB
Incremental-reoccurring (bal.),2500,HD,0.37492811241967344,0.40422596928441873,0.37492811241967344,0.3748253058464982,6,31,0.5800553289759471,N/A,N/A,N/A,NB
Incremental-reoccurring (bal.),2500,JS,0.37492811241967344,0.40422596928441873,0.37492811241967344,0.3748253058464982,6,31,0.5800553289759471,N/A,N/A,N/A,NB
