dataset,batch_size,technique,accuracy,precision,recall,f1,num_drifts,num_batches,auc,drift_alignment_with_batch,scenario,type_of_dataset,algorithm
MULTISEA,1000,Base,0.6971,0.6875731804032597,0.6971,0.6870785733274449,0,50,0.6511518917876906,N/A,N/A,N/A,NB
MULTISEA,1000,KS95,0.70452,0.6952263136395614,0.70452,0.6914807728247768,4,50,0.6534460045316348,N/A,N/A,N/A,NB
MULTISEA,1000,KS90,0.70452,0.6952263136395614,0.70452,0.6914807728247768,4,50,0.6534460045316348,N/A,N/A,N/A,NB
MULTISEA,1000,HD,0.70418,0.6949268011909121,0.70418,0.6924714759608817,6,50,0.6553351190016851,N/A,N/A,N/A,NB
MULTISEA,1000,JS,0.70418,0.6949268011909121,0.70418,0.6924714759608817,6,50,0.6553351190016851,N/A,N/A,N/A,NB
MULTISEA,1500,Base,0.69726,0.6877006297505706,0.69726,0.6871001187978919,0,33,0.6510650861985855,N/A,N/A,N/A,NB
MULTISEA,1500,KS95,0.69258,0.6839075942165348,0.69258,0.6850123089206557,3,33,0.6511785681664142,N/A,N/A,N/A,NB
MULTISEA,1500,KS90,0.69132,0.6846403359691722,0.69132,0.6864573259667834,5,33,0.6555989068181467,N/A,N/A,N/A,NB
MULTISEA,1500,HD,0.70302,0.6940465231666844,0.70302,0.6932920641636544,6,33,0.657687381269824,N/A,N/A,N/A,NB
MULTISEA,1500,JS,0.70302,0.6940465231666844,0.70302,0.6932920641636544,6,33,0.657687381269824,N/A,N/A,N/A,NB
MULTISEA,2000,Base,0.6971,0.687546438050471,0.6971,0.6869973810420112,0,25,0.6510057385562865,N/A,N/A,N/A,NB
MULTISEA,2000,KS95,0.6971,0.687546438050471,0.6971,0.6869973810420112,1,25,0.6510057385562865,N/A,N/A,N/A,NB
MULTISEA,2000,KS90,0.70232,0.6935542852795943,0.70232,0.6933943620358053,7,25,0.6584817249843139,N/A,N/A,N/A,NB
MULTISEA,2000,HD,0.69562,0.686318452272023,0.69562,0.6864783829853646,1,25,0.6512606156377431,N/A,N/A,N/A,NB
MULTISEA,2000,JS,0.69562,0.686318452272023,0.69562,0.6864783829853646,1,25,0.6512606156377431,N/A,N/A,N/A,NB
MULTISEA,2500,Base,0.69688,0.6872791939838124,0.69688,0.686685392767593,0,20,0.6506177758899903,N/A,N/A,N/A,NB
MULTISEA,2500,KS95,0.69688,0.6872791939838124,0.69688,0.686685392767593,0,20,0.6506177758899903,N/A,N/A,N/A,NB
MULTISEA,2500,KS90,0.70076,0.6922970251783125,0.70076,0.692791633968142,8,20,0.6587518984696683,N/A,N/A,N/A,NB
MULTISEA,2500,HD,0.69856,0.6896166204957203,0.69856,0.689812579529588,4,20,0.6549959399255852,N/A,N/A,N/A,NB
MULTISEA,2500,JS,0.69856,0.6896166204957203,0.69856,0.689812579529588,4,20,0.6549959399255852,N/A,N/A,N/A,NB
