dataset,batch_size,technique,accuracy,precision,recall,f1,num_drifts,num_batches,auc,drift_alignment_with_batch,scenario,type_of_dataset,algorithm
MULTISTAGGER,1000,Base,0.60066,0.712950266416808,0.60066,0.5024378181333491,0,50,0.5553973299793393,N/A,N/A,N/A,NB
MULTISTAGGER,1000,KS95,0.62722,0.7101651501101642,0.62722,0.5571270289268008,1,50,0.5869329518219467,N/A,N/A,N/A,NB
MULTISTAGGER,1000,KS90,0.62722,0.7101651501101642,0.62722,0.5571270289268008,1,50,0.5869329518219467,N/A,N/A,N/A,NB
MULTISTAGGER,1000,HD,0.84142,0.8414431660332405,0.84142,0.8408922341804209,11,50,0.8369728760004936,N/A,N/A,N/A,NB
MULTISTAGGER,1000,JS,0.84142,0.8414431660332405,0.84142,0.8408922341804209,11,50,0.8369728760004936,N/A,N/A,N/A,NB
MULTISTAGGER,1500,Base,0.5998,0.7058072536202539,0.5998,0.5022864930973798,0,33,0.5546958398552129,N/A,N/A,N/A,NB
MULTISTAGGER,1500,KS95,0.5998,0.7058072536202539,0.5998,0.5022864930973798,0,33,0.5546958398552129,N/A,N/A,N/A,NB
MULTISTAGGER,1500,KS90,0.5998,0.7058072536202539,0.5998,0.5022864930973798,0,33,0.5546958398552129,N/A,N/A,N/A,NB
MULTISTAGGER,1500,HD,0.77276,0.7818413855059675,0.77276,0.7670477534773806,4,33,0.7584153280085487,N/A,N/A,N/A,NB
MULTISTAGGER,1500,JS,0.77276,0.7818413855059675,0.77276,0.7670477534773806,4,33,0.7584153280085487,N/A,N/A,N/A,NB
MULTISTAGGER,2000,Base,0.5952,0.7026659040648788,0.5952,0.4930897642353116,0,25,0.5494228373394245,N/A,N/A,N/A,NB
MULTISTAGGER,2000,KS95,0.5952,0.7026659040648788,0.5952,0.4930897642353116,0,25,0.5494228373394245,N/A,N/A,N/A,NB
MULTISTAGGER,2000,KS90,0.5952,0.7026659040648788,0.5952,0.4930897642353116,0,25,0.5494228373394245,N/A,N/A,N/A,NB
MULTISTAGGER,2000,HD,0.62262,0.7037191537765617,0.62262,0.550128861271711,1,25,0.5819196107757554,N/A,N/A,N/A,NB
MULTISTAGGER,2000,JS,0.62262,0.7037191537765617,0.62262,0.550128861271711,1,25,0.5819196107757554,N/A,N/A,N/A,NB
MULTISTAGGER,2500,Base,0.59484,0.7011102714164509,0.59484,0.49266311761161286,0,20,0.5490630622658517,N/A,N/A,N/A,NB
MULTISTAGGER,2500,KS95,0.59484,0.7011102714164509,0.59484,0.49266311761161286,0,20,0.5490630622658517,N/A,N/A,N/A,NB
MULTISTAGGER,2500,KS90,0.59484,0.7011102714164509,0.59484,0.49266311761161286,0,20,0.5490630622658517,N/A,N/A,N/A,NB
MULTISTAGGER,2500,HD,0.74976,0.7562584761558112,0.74976,0.7437917926482548,2,20,0.7355493601510603,N/A,N/A,N/A,NB
MULTISTAGGER,2500,JS,0.74976,0.7562584761558112,0.74976,0.7437917926482548,2,20,0.7355493601510603,N/A,N/A,N/A,NB
