dataset,batch_size,technique,accuracy,precision,recall,f1,num_drifts,num_batches,auc,drift_alignment_with_batch,scenario,type_of_dataset,algorithm
SEA,1000,Base,0.70072,0.6931407680832358,0.70072,0.6902873658022481,0,50,0.6594453724502309,N/A,N/A,N/A,NB
SEA,1000,KS95,0.69648,0.6894508281223171,0.69648,0.689753123645876,4,50,0.6618488579394177,N/A,N/A,N/A,NB
SEA,1000,KS90,0.6964,0.6892962324812792,0.6964,0.6895120068477552,6,50,0.6614534535410745,N/A,N/A,N/A,NB
SEA,1000,HD,0.69922,0.6916205239138293,0.69922,0.6899978170145379,4,50,0.6600060810482395,N/A,N/A,N/A,NB
SEA,1000,JS,0.69934,0.6917120960820651,0.69934,0.689850637140497,4,50,0.6596621853337731,N/A,N/A,N/A,NB
SEA,1500,Base,0.70108,0.6935332317611962,0.70108,0.6905274178444544,0,33,0.6596062337038981,N/A,N/A,N/A,NB
SEA,1500,KS95,0.70032,0.6927129067265722,0.70032,0.6901250385604261,2,33,0.659442569233492,N/A,N/A,N/A,NB
SEA,1500,KS90,0.69648,0.6893392401915172,0.69648,0.6894955342122352,4,33,0.6613477871843476,N/A,N/A,N/A,NB
SEA,1500,HD,0.69606,0.6891319304512511,0.69606,0.6895909775717385,7,33,0.6619300944486934,N/A,N/A,N/A,NB
SEA,1500,JS,0.69606,0.6891319304512511,0.69606,0.6895909775717385,7,33,0.6619300944486934,N/A,N/A,N/A,NB
SEA,2000,Base,0.7009,0.6933358032879146,0.7009,0.6903622028525188,0,25,0.6594506424638041,N/A,N/A,N/A,NB
SEA,2000,KS95,0.7009,0.6933358032879146,0.7009,0.6903622028525188,1,25,0.6594506424638041,N/A,N/A,N/A,NB
SEA,2000,KS90,0.69582,0.688726709224321,0.69582,0.6890194256082085,5,25,0.6610345022916051,N/A,N/A,N/A,NB
SEA,2000,HD,0.69698,0.6897339913926404,0.69698,0.6896649598068463,1,25,0.6612210128089532,N/A,N/A,N/A,NB
SEA,2000,JS,0.69698,0.6897339913926404,0.69698,0.6896649598068463,1,25,0.6612210128089532,N/A,N/A,N/A,NB
SEA,2500,Base,0.70094,0.6933790952528137,0.70094,0.6903613208657043,0,20,0.659422862823194,N/A,N/A,N/A,NB
SEA,2500,KS95,0.69606,0.6888392481538808,0.69606,0.6889329933125754,2,20,0.6606473533157142,N/A,N/A,N/A,NB
SEA,2500,KS90,0.69586,0.6886399732304467,0.69586,0.6887596698105457,4,20,0.6604956304808236,N/A,N/A,N/A,NB
SEA,2500,HD,0.69634,0.6891069263232071,0.69634,0.6891462933870119,3,20,0.660803645359993,N/A,N/A,N/A,NB
SEA,2500,JS,0.69634,0.6891069263232071,0.69634,0.6891462933870119,3,20,0.660803645359993,N/A,N/A,N/A,NB
