dataset,batch_size,technique,accuracy,precision,recall,f1,num_drifts,num_batches,auc,drift_alignment_with_batch,scenario,type_of_dataset,algorithm
STAGGER,1000,Base,0.68498,0.7793772579283481,0.68498,0.5755903970733838,0,50,0.5294303371707663,N/A,N/A,N/A,NB
STAGGER,1000,KS95,0.68498,0.7793772579283481,0.68498,0.5755903970733838,0,50,0.5294303371707663,N/A,N/A,N/A,NB
STAGGER,1000,KS90,0.80772,0.850361695046401,0.80772,0.7811876943275842,1,50,0.7127643780202799,N/A,N/A,N/A,NB
STAGGER,1000,HD,0.86584,0.8643079983605036,0.86584,0.8637193859752392,12,50,0.8355342477137682,N/A,N/A,N/A,NB
STAGGER,1000,JS,0.86584,0.8643079983605036,0.86584,0.8637193859752392,12,50,0.8355342477137682,N/A,N/A,N/A,NB
STAGGER,1500,Base,0.6841,0.7786588257201479,0.6841,0.5737326945615808,0,33,0.528114941057164,N/A,N/A,N/A,NB
STAGGER,1500,KS95,0.6841,0.7786588257201479,0.6841,0.5737326945615808,0,33,0.528114941057164,N/A,N/A,N/A,NB
STAGGER,1500,KS90,0.6841,0.7786588257201479,0.6841,0.5737326945615808,0,33,0.528114941057164,N/A,N/A,N/A,NB
STAGGER,1500,HD,0.84532,0.8447559811689924,0.84532,0.8401864963305254,5,33,0.8004306190541968,N/A,N/A,N/A,NB
STAGGER,1500,JS,0.84532,0.8447559811689924,0.84532,0.8401864963305254,5,33,0.8004306190541968,N/A,N/A,N/A,NB
STAGGER,2000,Base,0.68374,0.77835681039517,0.68374,0.5729705614753211,0,25,0.5275768244652357,N/A,N/A,N/A,NB
STAGGER,2000,KS95,0.68374,0.77835681039517,0.68374,0.5729705614753211,0,25,0.5275768244652357,N/A,N/A,N/A,NB
STAGGER,2000,KS90,0.68374,0.77835681039517,0.68374,0.5729705614753211,0,25,0.5275768244652357,N/A,N/A,N/A,NB
STAGGER,2000,HD,0.81552,0.840935120824436,0.81552,0.7954432088145477,3,25,0.7313822956990877,N/A,N/A,N/A,NB
STAGGER,2000,JS,0.81552,0.840935120824436,0.81552,0.7954432088145477,3,25,0.7313822956990877,N/A,N/A,N/A,NB
STAGGER,2500,Base,0.68426,0.7756382959183674,0.68426,0.5743765276329554,0,20,0.5285027946889119,N/A,N/A,N/A,NB
STAGGER,2500,KS95,0.68426,0.7756382959183674,0.68426,0.5743765276329554,0,20,0.5285027946889119,N/A,N/A,N/A,NB
STAGGER,2500,KS90,0.68426,0.7756382959183674,0.68426,0.5743765276329554,0,20,0.5285027946889119,N/A,N/A,N/A,NB
STAGGER,2500,HD,0.83608,0.8364176828673916,0.83608,0.8292822787242157,3,20,0.7850577074903503,N/A,N/A,N/A,NB
STAGGER,2500,JS,0.83608,0.8364176828673916,0.83608,0.8292822787242157,3,20,0.7850577074903503,N/A,N/A,N/A,NB
