dataset,batch_size,technique,accuracy,precision,recall,f1,num_drifts,num_batches,auc,drift_alignment_with_batch,scenario,type_of_dataset,algorithm
synthetic_dataset_with_parallel_drifts_abrupt,1000,Base,0.6422875,0.6571602096578195,0.6422875,0.6336938696834838,0,80,0.6423832899934726,1.0,parallel_abrupt,synthetic,NB
synthetic_dataset_with_parallel_drifts_abrupt,1000,KS95,0.652825,0.6583543320671561,0.652825,0.6498102426675048,8,80,0.6528830519074422,1.0,parallel_abrupt,synthetic,NB
synthetic_dataset_with_parallel_drifts_abrupt,1000,KS90,0.6552375,0.6593649901196785,0.6552375,0.6530267193793718,10,80,0.6552874512841607,1.0,parallel_abrupt,synthetic,NB
synthetic_dataset_with_parallel_drifts_abrupt,1000,HD,0.646175,0.6654402195653744,0.646175,0.6356447367735691,4,80,0.6462813149536386,1.0,parallel_abrupt,synthetic,NB
synthetic_dataset_with_parallel_drifts_abrupt,1000,JS,0.646175,0.6654402195653744,0.646175,0.6356447367735691,4,80,0.6462813149536386,1.0,parallel_abrupt,synthetic,NB
synthetic_dataset_with_parallel_drifts_abrupt,1500,Base,0.6420125,0.6559586979394088,0.6420125,0.6338991148796118,0,53,0.6421056023850009,1.0,parallel_abrupt,synthetic,NB
synthetic_dataset_with_parallel_drifts_abrupt,1500,KS95,0.648925,0.658149101683848,0.648925,0.643786320279479,8,53,0.6490001285156753,1.0,parallel_abrupt,synthetic,NB
synthetic_dataset_with_parallel_drifts_abrupt,1500,KS90,0.6525875,0.658589115366213,0.6525875,0.6493135859727593,10,53,0.6526479502531056,1.0,parallel_abrupt,synthetic,NB
synthetic_dataset_with_parallel_drifts_abrupt,1500,HD,0.6464625,0.6596408170872691,0.6464625,0.639080163170177,8,53,0.6465519478718547,1.0,parallel_abrupt,synthetic,NB
synthetic_dataset_with_parallel_drifts_abrupt,1500,JS,0.6463625,0.6596069000532621,0.6463625,0.6389384891447208,7,53,0.6464521822078837,1.0,parallel_abrupt,synthetic,NB
synthetic_dataset_with_parallel_drifts_abrupt,2000,Base,0.64155,0.6547806440565097,0.64155,0.6337940719484545,0,40,0.641641016266022,1.0,parallel_abrupt,synthetic,NB
synthetic_dataset_with_parallel_drifts_abrupt,2000,KS95,0.64875,0.6570519028647035,0.64875,0.6440996930483563,7,40,0.6488215034458997,1.0,parallel_abrupt,synthetic,NB
synthetic_dataset_with_parallel_drifts_abrupt,2000,KS90,0.650975,0.6567768030571844,0.650975,0.6477601871640001,8,40,0.651034769935457,1.0,parallel_abrupt,synthetic,NB
synthetic_dataset_with_parallel_drifts_abrupt,2000,HD,0.6439625,0.6536058632536332,0.6439625,0.6383459818682009,5,40,0.6440404468907996,1.0,parallel_abrupt,synthetic,NB
synthetic_dataset_with_parallel_drifts_abrupt,2000,JS,0.6439625,0.6536058632536332,0.6439625,0.6383459818682009,5,40,0.6440404468907996,1.0,parallel_abrupt,synthetic,NB
synthetic_dataset_with_parallel_drifts_abrupt,2500,Base,0.640925,0.6536304007557932,0.640925,0.6334149863549423,0,32,0.6410145160212953,1.0,parallel_abrupt,synthetic,NB
synthetic_dataset_with_parallel_drifts_abrupt,2500,KS95,0.643825,0.6539861960588943,0.643825,0.6379127500935438,7,32,0.6439049234003607,1.0,parallel_abrupt,synthetic,NB
synthetic_dataset_with_parallel_drifts_abrupt,2500,KS90,0.643825,0.6539861960588943,0.643825,0.6379127500935438,7,32,0.6439049234003607,1.0,parallel_abrupt,synthetic,NB
