Dataset,Amount of Drift,Batch Size,Method,TP,FP,FN,Precision,Recall,F1-score
SYN-SI,1.0,2500,KS95,13,5,1,0.722,0.929,0.813
SYN-SI,1.0,2500,KS90,13,5,1,0.722,0.929,0.813
SYN-SI,1.0,2500,HD,6,4,8,0.6,0.429,0.5
SYN-SI,1.0,2500,JS,6,4,8,0.6,0.429,0.5
SYN-PA,1.0,1000,KS95,4,4,4,0.5,0.5,0.5
SYN-PA,1.0,1000,KS90,4,6,4,0.4,0.5,0.444
SYN-PA,1.0,1000,HD,4,0,4,1.0,0.5,0.667
SYN-PA,1.0,1000,JS,4,0,4,1.0,0.5,0.667
SYN-SI,1.0,1000,KS95,24,6,2,0.8,0.923,0.857
SYN-SI,1.0,1000,KS90,24,6,2,0.8,0.923,0.857
SYN-SI,1.0,1000,HD,10,7,16,0.588,0.385,0.465
SYN-SI,1.0,1000,JS,9,7,17,0.562,0.346,0.429
SYN-PI,1.0,1000,KS95,8,4,0,0.667,1.0,0.8
SYN-PI,1.0,1000,KS90,8,6,0,0.571,1.0,0.727
SYN-PI,1.0,1000,HD,4,0,4,1.0,0.5,0.667
SYN-PI,1.0,1000,JS,4,0,4,1.0,0.5,0.667
SYN-PI,1.0,2500,KS95,4,3,0,0.571,1.0,0.727
SYN-PI,1.0,2500,KS90,4,3,0,0.571,1.0,0.727
SYN-PI,1.0,2500,HD,2,0,2,1.0,0.5,0.667
SYN-PI,1.0,2500,JS,2,0,2,1.0,0.5,0.667
SYN-SA,1.0,2500,KS95,12,5,2,0.706,0.857,0.774
SYN-SA,1.0,2500,KS90,12,5,2,0.706,0.857,0.774
SYN-SA,1.0,2500,HD,4,0,10,1.0,0.286,0.444
SYN-SA,1.0,2500,JS,4,0,10,1.0,0.286,0.444
SYN-PA,1.0,2500,KS95,4,3,0,0.571,1.0,0.727
SYN-PA,1.0,2500,KS90,4,3,0,0.571,1.0,0.727
SYN-PA,1.0,2500,HD,4,0,0,1.0,1.0,1.0
SYN-PA,1.0,2500,JS,4,0,0,1.0,1.0,1.0
SYN-SA,1.0,1000,KS95,15,6,11,0.714,0.577,0.638
SYN-SA,1.0,1000,KS90,15,6,11,0.714,0.577,0.638
SYN-SA,1.0,1000,HD,11,5,15,0.688,0.423,0.524
SYN-SA,1.0,1000,JS,11,5,15,0.688,0.423,0.524
