dataset,batch_size,technique,accuracy,precision,recall,f1,num_drifts,num_batches,auc,drift_alignment_with_batch,scenario,type_of_dataset,algorithm,run_id,algorithm_seed
synthetic_dataset_with_parallel_drifts_abrupt,1000,Base,0.70995,0.7113667160663475,0.70995,0.7094681549203444,0,80,0.7099601943725121,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,1000,KS95,0.7015625,0.7049951545317983,0.7015625,0.7003162486019925,29,80,0.7015786344736646,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,1000,KS90,0.7030375,0.7052814973972259,0.7030375,0.7022304094939865,37,80,0.7030505283156581,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,1000,HD,0.708075,0.7099607876285711,0.708075,0.7074238897655212,9,80,0.7080868067554253,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,1000,JS,0.70855,0.7101394969839306,0.70855,0.7080031805350347,10,80,0.708560831785052,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,1500,Base,0.7123875,0.7136539783944678,0.7123875,0.7119652690105986,0,53,0.7123970851498177,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,1500,KS95,0.7079875,0.7105818513080961,0.7079875,0.7070921833579555,27,53,0.7080013348750833,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,1500,KS90,0.708325,0.7105269519960042,0.708325,0.7075666304767736,28,53,0.7083377442711091,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,1500,HD,0.7123125,0.7138209062525093,0.7123125,0.7118092724919585,2,53,0.7123229601451849,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,1500,JS,0.7091875,0.7112116141452473,0.7091875,0.7084950885546836,3,53,0.709199697449981,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,2000,Base,0.712575,0.7137459961412573,0.712575,0.7121852378071858,0,40,0.7125842132865134,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,2000,KS95,0.705175,0.7081309375569556,0.705175,0.7041319696925413,24,40,0.705189856574366,1.0,parallel_abrupt,synthetic,NB,23,23042
