technique,metric,num_drifts,10_drifts_mean,2_drifts_mean,mean_difference,percent_difference,pooled_se,t_statistic,p_value,cohens_d,is_significant,is_highly_significant,is_practically_significant,is_improvement,is_substantial_improvement
Base,accuracy,10,0.7429070416666668,0.7390780846774193,0.003828956989247456,0.5180720506573614,0.004552384670188793,0.8410881914969336,0.40046362059888274,0.0481917386299402,False,False,False,False,False
Base,precision,10,0.7442293387370713,0.7406290415138695,0.003600297223201765,0.4861134280992603,0.0045843022036691355,0.7853533783877068,0.43239914396982937,0.04500117639397962,False,False,False,False,False
Base,recall,10,0.7429070416666668,0.7390780846774193,0.003828956989247456,0.5180720506573614,0.004552384670188793,0.8410881914969336,0.40046362059888274,0.0481917386299402,False,False,False,False,False
Base,f1,10,0.7426123007278661,0.7386336450590542,0.003978655668811948,0.5386507499930974,0.004557596440446215,0.8729723486492839,0.3828502155020943,0.05001694773721029,False,False,False,False,False
Base,auc,10,0.7429034073849564,0.7390761667285739,0.0038272406563825134,0.5178411682957258,0.004552143655260111,0.8407556848431278,0.40064983539080257,0.04817268704699891,False,False,False,False,False
KS95,accuracy,10,0.7366741874999999,0.7385897580645162,-0.0019155705645163001,-0.2593551485923765,0.004593473788512916,-0.4170200272627318,0.6767372455921667,-0.023894549898572964,False,False,False,False,False
KS95,precision,10,0.7379913817152094,0.7398431617776627,-0.0018517800624533454,-0.2502935970921147,0.00462865811287145,-0.40006844690124865,0.6891762554427077,-0.022922998206120145,False,False,False,False,False
KS95,recall,10,0.7366741874999999,0.7385897580645162,-0.0019155705645163001,-0.2593551485923765,0.004593473788512916,-0.4170200272627318,0.6767372455921667,-0.023894549898572964,False,False,False,False,False
KS95,f1,10,0.7363347586166605,0.7382945124396094,-0.0019597538229488842,-0.2654433684564582,0.004596120405392342,-0.42639305546687317,0.6698968066892577,-0.024431905787383936,False,False,False,False,False
KS95,auc,10,0.7366707254833949,0.7385860829568491,-0.0019153574734542822,-0.2593275878942041,0.0045932091513547595,-0.41699766118626463,0.6767536006205692,-0.023893266746036968,False,False,False,False,False
KS90,accuracy,10,0.7365743125,0.7385033467741935,-0.0019290342741934419,-0.26120860286138525,0.004592231234897214,-0.420064708313108,0.6745122726406159,-0.024068815753433167,False,False,False,False,False
KS90,precision,10,0.7378359839197273,0.7396593669030019,-0.0018233829832746684,-0.24651658112696961,0.004627715057356067,-0.39401366779838304,0.6936399178248478,-0.022575928830197215,False,False,False,False,False
KS90,recall,10,0.7365743125,0.7385033467741935,-0.0019290342741934419,-0.26120860286138525,0.004592231234897214,-0.420064708313108,0.6745122726406159,-0.024068815753433167,False,False,False,False,False
KS90,f1,10,0.7362553754274151,0.7382383539759931,-0.001982978548577985,-0.2686095267061226,0.004594115384344494,-0.43163446772265257,0.6660834934259885,-0.024732029885886256,False,False,False,False,False
KS90,auc,10,0.7365707853833637,0.7384997469408144,-0.0019289615574507035,-0.26120002957906174,0.004591975889092438,-0.42007223122243903,0.6745067786134418,-0.024069244519805705,False,False,False,False,False
HD,accuracy,10,0.7416118125,0.7366204637096775,0.004991348790322481,0.6776011577503105,0.004568633960602067,1.0925254317517499,0.27481826174672674,0.06259278370908883,False,False,False,False,False
HD,precision,10,0.7429436944650951,0.7382410965123346,0.004702597952760512,0.637000293667875,0.0045981698218866,1.022710803410707,0.3066476809070484,0.05859577972043857,False,False,False,False,False
HD,recall,10,0.7416118125,0.7366204637096775,0.004991348790322481,0.6776011577503105,0.004568633960602067,1.0925254317517499,0.27481826174672674,0.06259278370908883,False,False,False,False,False
HD,f1,10,0.7412948293066297,0.7361488246000482,0.005146004706581553,0.6990440702499786,0.004574879822500359,1.124839319553765,0.2608787440610907,0.06444230670890408,False,False,False,False,False
HD,auc,10,0.7416076970550483,0.7366171381691324,0.004990558885915819,0.6774969828043766,0.004568390953597534,1.0924106401151668,0.27486867132973236,0.06258620096254817,False,False,False,False,False
JS,accuracy,10,0.741639625,0.7366698387096774,0.004969786290322631,0.6746287182094379,0.004564354441972369,1.0888256715171019,0.2764461556734201,0.06238049912831235,False,False,False,False,False
JS,precision,10,0.7429653190792175,0.7383245043343455,0.0046408147448719905,0.6285603034476054,0.0045933384875336365,1.0103358934829656,0.31253505348491517,0.05788722928118354,False,False,False,False,False
JS,recall,10,0.741639625,0.7366698387096774,0.004969786290322631,0.6746287182094379,0.004564354441972369,1.0888256715171019,0.2764461556734201,0.06238049912831235,False,False,False,False,False
JS,f1,10,0.7413276824319919,0.7361770525186649,0.005150629913326932,0.6996455398474055,0.004571278986687558,1.1267371622529614,0.26007555798455373,0.0645502383529563,False,False,False,False,False
JS,auc,10,0.7416354532556982,0.7366667850295959,0.004968668226102313,0.6744797413260182,0.00456411193330832,1.0886385563512566,0.27652866082363525,0.06236977308160926,False,False,False,False,False
