technique,metric,mean,std,count,ci_lower,ci_upper,ci_width
Base,accuracy,0.7429070416666668,0.08070485180948488,600,0.7364363527576001,0.7493777305757334,0.012941377818133315
Base,precision,0.7442293387370713,0.08142108788707499,600,0.7377012240259664,0.7507574534481762,0.013056229422209853
Base,recall,0.7429070416666668,0.08070485180948488,600,0.7364363527576001,0.7493777305757334,0.012941377818133315
Base,f1,0.7426123007278661,0.08071958469719832,600,0.7361404305771394,0.7490841708785928,0.0129437403014534
Base,auc,0.7429034073849564,0.08070057979990636,600,0.736433060993649,0.7493737537762638,0.012940692782614782
KS95,accuracy,0.7366741874999999,0.08149254218630626,600,0.7301403437833747,0.7432080312166252,0.013067687433250486
KS95,precision,0.7379913817152094,0.08209029408055897,600,0.7314096119264113,0.7445731515040075,0.013163539577596195
KS95,recall,0.7366741874999999,0.08149254218630626,600,0.7301403437833747,0.7432080312166252,0.013067687433250486
KS95,f1,0.7363347586166605,0.08156824936888396,600,0.7297948449102433,0.7428746723230778,0.013079827412834533
KS95,auc,0.7366707254833949,0.08148768761749368,600,0.730137270992496,0.7432041799742937,0.013066908981797631
KS90,accuracy,0.7365743125,0.08145191068650712,600,0.7300437265031923,0.7431048984968078,0.013061171993615561
KS90,precision,0.7378359839197273,0.08205831673817485,600,0.7312567779846514,0.7444151898548031,0.013158411870151765
KS90,recall,0.7365743125,0.08145191068650712,600,0.7300437265031923,0.7431048984968078,0.013061171993615561
KS90,f1,0.7362553754274151,0.0815131969698182,600,0.7297198756681159,0.7427908751867144,0.01307099951859847
KS90,auc,0.7365707853833637,0.08144715769560715,600,0.73004058046805,0.7431009902986775,0.013060409830627506
HD,accuracy,0.7416118125,0.08078486346502584,600,0.735134708480559,0.748088916519441,0.012954208038882031
HD,precision,0.7429436944650951,0.08142068891760557,600,0.7364156117422446,0.7494717771879457,0.013056165445701096
HD,recall,0.7416118125,0.08078486346502584,600,0.735134708480559,0.748088916519441,0.012954208038882031
HD,f1,0.7412948293066297,0.08082932479868277,600,0.7348141605020224,0.747775498111237,0.012961337609214585
HD,auc,0.7416076970550483,0.08078033565412154,600,0.7351309560628001,0.7480844380472964,0.012953481984496307
JS,accuracy,0.741639625,0.08069715268810183,600,0.7351695533849154,0.7481096966150846,0.012940143230169232
JS,precision,0.7429653190792175,0.08135415482271499,600,0.7364425708736881,0.7494880672847468,0.013045496411058677
JS,recall,0.741639625,0.08069715268810183,600,0.7351695533849154,0.7481096966150846,0.012940143230169232
JS,f1,0.7413276824319919,0.08073655345148167,600,0.7348544517740877,0.747800913089896,0.012946461315808344
JS,auc,0.7416354532556982,0.08069264098794186,600,0.7351657433760921,0.7481051631353044,0.012939419759212312
