dataset,batch_size,technique,accuracy,precision,recall,f1,num_drifts,num_batches,auc,drift_alignment_with_batch,scenario,type_of_dataset,algorithm
electricity,1000,Base,0.5787650070621468,0.5674397161361405,0.5787650070621468,0.4516722534933677,0,45,0.5084178265647491,N/A,N/A,N/A,NB
electricity,1000,KS95,0.6010549081920904,0.5912835397531211,0.6010549081920904,0.5587715880862777,45,45,0.555574371276669,N/A,N/A,N/A,NB
electricity,1000,KS90,0.6010549081920904,0.5912835397531211,0.6010549081920904,0.5587715880862777,45,45,0.555574371276669,N/A,N/A,N/A,NB
electricity,1000,HD,0.5834878177966102,0.5746858621765444,0.5834878177966102,0.4809526266039181,5,45,0.5184650335515646,N/A,N/A,N/A,NB
electricity,1000,JS,0.584569209039548,0.5771699538676663,0.584569209039548,0.48453548254954676,7,45,0.520127139938012,N/A,N/A,N/A,NB
electricity,1500,Base,0.5810160663841808,0.6461059738703636,0.5810160663841808,0.4381030512486208,0,30,0.5075041351031795,N/A,N/A,N/A,NB
electricity,1500,KS95,0.5897113347457628,0.5771262504476463,0.5897113347457628,0.5258108587021468,30,30,0.5357939116508611,N/A,N/A,N/A,NB
electricity,1500,KS90,0.5897113347457628,0.5771262504476463,0.5897113347457628,0.5258108587021468,30,30,0.5357939116508611,N/A,N/A,N/A,NB
electricity,1500,HD,0.5814133121468926,0.5960640410264997,0.5814133121468926,0.44966206634143113,4,30,0.5100236366370317,N/A,N/A,N/A,NB
electricity,1500,JS,0.5812808968926554,0.5763650177807366,0.5812808968926554,0.46201567310031044,10,30,0.5124850785162481,N/A,N/A,N/A,NB
electricity,2000,Base,0.580662959039548,0.6396190272535699,0.580662959039548,0.43762950101527753,0,22,0.5071427988300151,N/A,N/A,N/A,NB
electricity,2000,KS95,0.5913665254237288,0.5829332014598693,0.5913665254237288,0.5191959142709108,22,22,0.5346010472089305,N/A,N/A,N/A,NB
electricity,2000,KS90,0.5913665254237288,0.5829332014598693,0.5913665254237288,0.5191959142709108,22,22,0.5346010472089305,N/A,N/A,N/A,NB
electricity,2000,HD,0.5840616172316384,0.6376144371941495,0.5840616172316384,0.44899537463988687,6,22,0.5119157238883939,N/A,N/A,N/A,NB
electricity,2000,JS,0.58545197740113,0.5842441116702548,0.58545197740113,0.4798297109715586,7,22,0.5196059108488351,N/A,N/A,N/A,NB
electricity,2500,Base,0.5800450211864406,0.6420224695101819,0.5800450211864406,0.4353892858685526,0,18,0.506251447666143,N/A,N/A,N/A,NB
electricity,2500,KS95,0.5913885946327684,0.5828432044985141,0.5913885946327684,0.5195897876573115,18,18,0.5347429128839534,N/A,N/A,N/A,NB
electricity,2500,KS90,0.5913885946327684,0.5828432044985141,0.5913885946327684,0.5195897876573115,18,18,0.5347429128839534,N/A,N/A,N/A,NB
electricity,2500,HD,0.5880782132768362,0.5847442415053401,0.5880782132768362,0.4947171429904018,7,18,0.5252276904660647,N/A,N/A,N/A,NB
electricity,2500,JS,0.5849223163841808,0.5773290811740754,0.5849223163841808,0.4868067394068642,7,18,0.5209519725963534,N/A,N/A,N/A,NB
