dataset,batch_size,technique,accuracy,precision,recall,f1,num_drifts,num_batches,auc,drift_alignment_with_batch,scenario,type_of_dataset,algorithm
magic,1000,Base,0.6518401682439537,0.7734775221475382,0.6518401682439537,0.518008249856441,0,19,0.5049342105263158,N/A,N/A,N/A,NB
magic,1000,KS95,0.9648790746582545,0.9666837498988917,0.9648790746582545,0.9644190694837061,19,19,0.9500598086124402,N/A,N/A,N/A,NB
magic,1000,KS90,0.9648790746582545,0.9666837498988917,0.9648790746582545,0.9644190694837061,19,19,0.9500598086124402,N/A,N/A,N/A,NB
magic,1000,HD,0.9107781282860147,0.9215707376165895,0.9107781282860147,0.9071678485266197,3,19,0.873130980861244,N/A,N/A,N/A,NB
magic,1000,JS,0.9107781282860147,0.9215707376165895,0.9107781282860147,0.9071678485266197,3,19,0.873130980861244,N/A,N/A,N/A,NB
magic,1500,Base,0.6515247108307045,0.7733440260529666,0.6515247108307045,0.5172910489041626,0,12,0.5044856459330144,N/A,N/A,N/A,NB
magic,1500,KS95,0.9385909568874868,0.9439039763212211,0.9385909568874868,0.9370416150101797,12,12,0.9126794258373205,N/A,N/A,N/A,NB
magic,1500,KS90,0.9385909568874868,0.9439039763212211,0.9385909568874868,0.9370416150101797,12,12,0.9126794258373205,N/A,N/A,N/A,NB
magic,1500,HD,0.8691903259726603,0.8911508164571421,0.8691903259726603,0.8602379632075842,1,12,0.8139952153110048,N/A,N/A,N/A,NB
magic,1500,JS,0.8691903259726603,0.8911508164571421,0.8691903259726603,0.8602379632075842,1,12,0.8139952153110048,N/A,N/A,N/A,NB
magic,2000,Base,0.6514195583596214,0.7732995461286178,0.6514195583596214,0.517051745506404,0,9,0.5043361244019139,N/A,N/A,N/A,NB
magic,2000,KS95,0.9123028391167193,0.9227513294276701,0.9123028391167193,0.9088334644532753,9,9,0.875299043062201,N/A,N/A,N/A,NB
magic,2000,KS90,0.9123028391167193,0.9227513294276701,0.9123028391167193,0.9088334644532753,9,9,0.875299043062201,N/A,N/A,N/A,NB
magic,2000,HD,0.8310199789695057,0.8659551254761317,0.8310199789695057,0.8140384768415,2,9,0.7597188995215312,N/A,N/A,N/A,NB
magic,2000,JS,0.7540483701366982,0.821688683158481,0.7540483701366982,0.7075149835058067,1,9,0.6502691387559809,N/A,N/A,N/A,NB
magic,2500,Base,0.65,0.7726999842013798,0.65,0.513809517290483,0,7,0.5023175837320574,N/A,N/A,N/A,NB
magic,2500,KS95,0.859726603575184,0.8846765650192778,0.859726603575184,0.849097738407015,7,7,0.8005382775119617,N/A,N/A,N/A,NB
magic,2500,KS90,0.859726603575184,0.8846765650192778,0.859726603575184,0.849097738407015,7,7,0.8005382775119617,N/A,N/A,N/A,NB
magic,2500,HD,0.859726603575184,0.8846765650192778,0.859726603575184,0.849097738407015,2,7,0.8005382775119617,N/A,N/A,N/A,NB
magic,2500,JS,0.7244479495268139,0.8066290396383469,0.7244479495268139,0.659831234425084,1,7,0.6081788277511961,N/A,N/A,N/A,NB
