dataset,batch_size,technique,accuracy,precision,recall,f1,num_drifts,num_batches,auc,drift_alignment_with_batch,scenario,type_of_dataset,algorithm,run_id,algorithm_seed
synthetic_dataset_with_parallel_drifts_abrupt,1000,Base,0.7077125,0.7124637407593276,0.7077125,0.7060784586737815,0,80,0.707731153608197,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,1000,KS95,0.7197125,0.7201609721696465,0.7197125,0.7195722684669464,9,80,0.7197181043573817,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,1000,KS90,0.7213625,0.7215080260376758,0.7213625,0.7213181731376344,19,80,0.7213656669603541,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,1000,HD,0.71275,0.71633111143851,0.71275,0.7115639700212069,4,80,0.7127660445478778,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,1000,JS,0.71275,0.71633111143851,0.71275,0.7115639700212069,4,80,0.7127660445478778,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,1500,Base,0.7071375,0.7112180559415645,0.7071375,0.7057247850334798,0,53,0.7071548348221771,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,1500,KS95,0.714525,0.7168303492537555,0.714525,0.7137702771641665,9,53,0.7145378509086158,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,1500,KS90,0.7163375,0.7171992093305462,0.7163375,0.716059555126528,14,53,0.7163453353965835,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,1500,HD,0.7044375,0.7121477134820418,0.7044375,0.7017393876097875,5,53,0.7044612909038306,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,1500,JS,0.708125,0.7120304317443764,0.708125,0.7067831135560436,7,53,0.7081419255088703,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,2000,Base,0.7070125,0.7107029671724832,0.7070125,0.705732151134055,0,40,0.7070290035643128,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,2000,KS95,0.7100125,0.7116214223641955,0.7100125,0.7094655866396233,10,40,0.7100233600014599,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,2000,KS90,0.710975,0.7122388794672443,0.710975,0.7105487509303455,14,40,0.7109846069365379,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,2000,HD,0.7092,0.7116054397660754,0.7092,0.7083777544464268,5,40,0.7092132880758304,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,2000,JS,0.7092,0.7116054397660754,0.7092,0.7083777544464268,5,40,0.7092132880758304,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,2500,Base,0.70725,0.7106676613542273,0.70725,0.7060657399860661,0,32,0.7072658817041176,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,2500,KS95,0.7078125,0.7097210740220702,0.7078125,0.7071521220815795,6,32,0.7078243848640241,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,2500,KS90,0.7079625,0.7095265052185625,0.7079625,0.707421847837409,8,32,0.7079732598733286,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,2500,HD,0.7021125,0.7065392367308608,0.7021125,0.7005171360675071,7,32,0.7021307595081725,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,2500,JS,0.6938,0.7052944688888768,0.6938,0.6894689668471434,4,32,0.6938295371143461,1.0,parallel_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,1000,Base,0.7290125,0.7296055349088336,0.7290125,0.7288401370854839,0,80,0.729018817438676,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,1000,KS95,0.7313875,0.7321237485029984,0.7313875,0.7311773128259926,32,80,0.7313945050871566,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,1000,KS90,0.7311125,0.7318232073106059,0.7311125,0.7309091906286059,39,80,0.7311193863199615,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,1000,HD,0.7297625,0.7298023658187125,0.7297625,0.7297514780579679,9,80,0.7297641112352571,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,1000,JS,0.7296875,0.7297089840718135,0.7296875,0.7296816906548996,12,80,0.729688673730542,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,1500,Base,0.728725,0.7292088927897198,0.728725,0.7285842215040891,0,53,0.7287307080456693,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,1500,KS95,0.7286125,0.7294446178748185,0.7286125,0.7283694625510428,25,53,0.7286199924137495,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,1500,KS90,0.7286875,0.7293756181166112,0.7286875,0.7284868138710775,27,53,0.7286943111683944,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,1500,HD,0.7293375,0.7301764114499865,0.7293375,0.7290938936931558,14,53,0.7293450112090631,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,1500,JS,0.7293375,0.7301764114499865,0.7293375,0.7290938936931558,14,53,0.7293450112090631,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,2000,Base,0.7281875,0.7286582374008169,0.7281875,0.7280499832514369,0,40,0.7281931361370709,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,2000,KS95,0.7282125,0.7293305044769277,0.7282125,0.7278846195759184,20,40,0.7282211923888245,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,2000,KS90,0.729775,0.730382376947336,0.729775,0.7295995220179005,24,40,0.7297813831113364,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,2000,HD,0.7298375,0.7302192497412845,0.7298375,0.7297276319188715,10,40,0.7298425549901597,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,2000,JS,0.729675,0.7301255208414857,0.729675,0.729544995692503,11,40,0.7296804956050309,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,2500,Base,0.728125,0.7285806613540351,0.728125,0.7279918527442282,0,32,0.728130545508159,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,2500,KS95,0.7283875,0.7289673247814433,0.7283875,0.7282181508511997,17,32,0.7283937548996098,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,2500,KS90,0.72775,0.7284222124555534,0.72775,0.7275524932277359,18,32,0.7277567454847966,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,2500,HD,0.7283625,0.7286279285087579,0.7283625,0.7282854731168975,10,32,0.7283667236479202,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,2500,JS,0.7283625,0.7286279285087579,0.7283625,0.7282854731168975,10,32,0.7283667236479202,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,1000,Base,0.72565,0.7269093902654132,0.72565,0.7252728891819777,0,80,0.7256592766037048,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,1000,KS95,0.728075,0.7287809118751011,0.728075,0.7278680818340196,13,80,0.7280819080051193,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,1000,KS90,0.7299,0.7303267834101257,0.7299,0.7297771194985875,23,80,0.729905345619084,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,1000,HD,0.726975,0.7280750201145291,0.726975,0.7266491795581219,8,80,0.7269836454364778,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,1000,JS,0.7262875,0.7274510671896782,0.7262875,0.7259409071732665,7,80,0.7262964047685252,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,1500,Base,0.72465,0.7257451517373534,0.72465,0.7243194963868245,0,53,0.7246586702911669,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,1500,KS95,0.72415,0.7252986152318839,0.72415,0.7238019287745879,9,53,0.7241588890099306,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,1500,KS90,0.7257875,0.7262350139316511,0.7257875,0.7256542686262699,14,53,0.725793023487064,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,1500,HD,0.721625,0.7234208048929879,0.721625,0.7210695510566049,6,53,0.7216361701022606,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,1500,JS,0.721625,0.7234208048929879,0.721625,0.7210695510566049,6,53,0.7216361701022606,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2000,Base,0.725025,0.7261061976922171,0.725025,0.7246997010696484,0,40,0.7250336078146005,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2000,KS95,0.7239875,0.7249534058188104,0.7239875,0.7236945354758605,10,40,0.7239956546247284,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2000,KS90,0.7246875,0.7254505412300836,0.7246875,0.7244575692014221,14,40,0.7246947359184209,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2000,HD,0.723725,0.7251498533103425,0.723725,0.7232916333149697,5,40,0.7237349077334317,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2000,JS,0.723725,0.7251498533103425,0.723725,0.7232916333149697,5,40,0.7237349077334317,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2500,Base,0.725625,0.7266347869766776,0.725625,0.7253227022775671,0,32,0.7256333078520816,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2500,KS95,0.7256625,0.7267554184587134,0.7256625,0.7253353505639302,6,32,0.7256711422294464,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2500,KS90,0.7256,0.726575038079879,0.7256,0.7253080750719905,8,32,0.7256081641005103,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2500,HD,0.724525,0.7254283112304604,0.724525,0.7242522636690505,4,32,0.7245328765333048,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2500,JS,0.725075,0.7260762919026366,0.725075,0.7247739216639979,4,32,0.7250832828177052,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1000,Base,0.71555,0.7166133084588391,0.71555,0.7152046131188603,0,80,0.71555871972242,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1000,KS95,0.7238875,0.724350494188234,0.7238875,0.7237474968351009,24,80,0.7238931421183215,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1000,KS90,0.723725,0.7242288565628975,0.723725,0.7235723480404472,30,80,0.7237308889831805,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1000,HD,0.722775,0.7228919359019254,0.722775,0.7227399137001003,20,80,0.7227778264236142,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1000,JS,0.7223625,0.7225367236494984,0.7223625,0.7223097169414507,20,80,0.7223659607728725,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1500,Base,0.7152125,0.7159716734717131,0.7152125,0.7149655049456379,0,53,0.7152198728262421,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1500,KS95,0.7194125,0.7203617472892971,0.7194125,0.7191137631919488,26,53,0.7194206668387917,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1500,KS90,0.71985,0.7205706055426881,0.71985,0.7196242640798772,28,53,0.7198571074910693,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1500,HD,0.7170625,0.7175438059500472,0.7170625,0.7169086529087696,14,53,0.7170683416917714,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1500,JS,0.7170625,0.7175438059500472,0.7170625,0.7169086529087696,14,53,0.7170683416917714,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,2000,Base,0.7139875,0.7146377371735202,0.7139875,0.7137739891458834,0,40,0.7139943414996464,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,2000,KS95,0.71225,0.7137068861848873,0.71225,0.7117637100040902,20,40,0.7122602820162677,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,2000,KS90,0.7149375,0.7155484566854889,0.7149375,0.7147385015939133,24,40,0.7149441165590072,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,2000,HD,0.714475,0.7148417261447872,0.714475,0.7143555478461588,14,40,0.7144801259050079,1.0,switching_abrupt,synthetic,NB,23,23042
