technique,metric,mean,std,count,ci_lower,ci_upper,ci_width
Base,accuracy,0.7390780846774193,0.07822164422855574,620,0.732908879859868,0.7452472894949707,0.012338409635102687
Base,precision,0.7406290415138695,0.07860940918761226,620,0.7344292543494872,0.7468288286782518,0.012399574328764595
Base,recall,0.7390780846774193,0.07822164422855574,620,0.732908879859868,0.7452472894949707,0.012338409635102687
Base,f1,0.7386336450590542,0.07839391023871511,620,0.7324508539213704,0.7448164361967379,0.012365582275367437
Base,auc,0.7390761667285739,0.07821750221441286,620,0.7329072885844626,0.7452450448726852,0.012337756288222534
KS95,accuracy,0.7385897580645162,0.07886443209699644,620,0.7323698576875228,0.7448096584415096,0.012439800753986763
KS95,precision,0.7398431617776627,0.07949673879508325,620,0.7335733924728748,0.7461129310824507,0.012539538609575906
KS95,recall,0.7385897580645162,0.07886443209699644,620,0.7323698576875228,0.7448096584415096,0.012439800753986763
KS95,f1,0.7382945124396094,0.07887915763280572,620,0.7320734506852588,0.7445155741939601,0.01244212350870133
KS95,auc,0.7385860829568491,0.07886005907086815,620,0.7323665274728086,0.7448056384408897,0.012439110968081035
KS90,accuracy,0.7385033467741935,0.07886294125584288,620,0.7322835639772448,0.7447231295711422,0.012439565593897361
KS90,precision,0.7396593669030019,0.07949681335452136,620,0.7333895917178409,0.745929142088163,0.012539550370322061
KS90,recall,0.7385033467741935,0.07886294125584288,620,0.7322835639772448,0.7447231295711422,0.012439565593897361
KS90,f1,0.7382383539759931,0.0788655457039436,620,0.7320183657707597,0.7444583421812265,0.012439976410466791
KS90,auc,0.7384997469408144,0.07885879518274659,620,0.7322802911374283,0.7447192027442006,0.01243891160677224
HD,accuracy,0.7366204637096775,0.07872206878845539,620,0.7304117912788306,0.7428291361405244,0.012417344861693769
HD,precision,0.7382410965123346,0.07911040726405902,620,0.7320017965024057,0.7444803965222635,0.012478600019857788
HD,recall,0.7366204637096775,0.07872206878845539,620,0.7304117912788306,0.7428291361405244,0.012417344861693769
HD,f1,0.7361488246000482,0.07889959866611695,620,0.7299261506970086,0.7423714985030877,0.012445347806079088
HD,auc,0.7366171381691324,0.07871812632238119,620,0.7304087766737171,0.7428254996645478,0.012416722990830742
JS,accuracy,0.7366698387096774,0.0786610919000731,620,0.730465975419795,0.7428737019995598,0.012407726579764855
JS,precision,0.7383245043343455,0.07900705741919693,620,0.7320933553466447,0.7445556533220463,0.01246229797540166
JS,recall,0.7366698387096774,0.0786610919000731,620,0.730465975419795,0.7428737019995598,0.012407726579764855
JS,f1,0.7361770525186649,0.07886834606247263,620,0.7299568434540326,0.7423972615832973,0.012440418129264774
JS,auc,0.7366667850295959,0.07865715020725474,620,0.7304632326141597,0.7428703374450322,0.012407104830872484
