dataset,batch_size,technique,accuracy,precision,recall,f1,num_drifts,num_batches,auc,drift_alignment_with_batch,scenario,type_of_dataset,algorithm
synthetic_dataset_no_drifts,1000,Base,0.6648125,0.668727736937821,0.6648125,0.6628884572898917,0,80,0.6648597831483529,N/A,no_drifts,synthetic,NB
synthetic_dataset_no_drifts,1000,KS95,0.6631125,0.6673916655717484,0.6631125,0.6609793661531921,3,80,0.6631621418602116,N/A,no_drifts,synthetic,NB
synthetic_dataset_no_drifts,1000,KS90,0.66345,0.6680078353401927,0.66345,0.6611865290717392,5,80,0.6635011498051366,N/A,no_drifts,synthetic,NB
synthetic_dataset_no_drifts,1000,HD,0.664325,0.668579097375353,0.664325,0.662227089829615,7,80,0.6643743220212196,N/A,no_drifts,synthetic,NB
synthetic_dataset_no_drifts,1000,JS,0.6621,0.6678867751587715,0.6621,0.6592023478094329,3,80,0.66215769615535,N/A,no_drifts,synthetic,NB
synthetic_dataset_no_drifts,1500,Base,0.6645125,0.66846546917995,0.6645125,0.6625648818538242,0,53,0.6645600486562689,N/A,no_drifts,synthetic,NB
synthetic_dataset_no_drifts,1500,KS95,0.6665125,0.6690949330958487,0.6665125,0.6652598553069882,2,53,0.6665507994339062,N/A,no_drifts,synthetic,NB
synthetic_dataset_no_drifts,1500,KS90,0.6656,0.6691142427124892,0.6656,0.6638836000358423,4,53,0.6656447287674722,N/A,no_drifts,synthetic,NB
synthetic_dataset_no_drifts,1500,HD,0.66565,0.6694577870000905,0.66565,0.6637922130681007,5,53,0.6656965256627053,N/A,no_drifts,synthetic,NB
synthetic_dataset_no_drifts,1500,JS,0.6641625,0.6684385471018559,0.6641624999999999,0.6620508254787933,4,53,0.6642119703953009,N/A,no_drifts,synthetic,NB
synthetic_dataset_no_drifts,2000,Base,0.6644625,0.6685072892043092,0.6644625,0.6624691975528681,0,40,0.6645105955119514,N/A,no_drifts,synthetic,NB
synthetic_dataset_no_drifts,2000,KS95,0.666475,0.669062165613655,0.666475,0.6652196436444816,2,40,0.6665133384817729,N/A,no_drifts,synthetic,NB
synthetic_dataset_no_drifts,2000,KS90,0.66625,0.6688891602591092,0.66625,0.6649668842728308,2,40,0.6662887446440409,N/A,no_drifts,synthetic,NB
synthetic_dataset_no_drifts,2000,HD,0.664825,0.6686037287959534,0.664825,0.6629676639585382,1,40,0.6648714628404151,N/A,no_drifts,synthetic,NB
synthetic_dataset_no_drifts,2000,JS,0.664825,0.6686037287959534,0.664825,0.6629676639585382,1,40,0.6648714628404151,N/A,no_drifts,synthetic,NB
synthetic_dataset_no_drifts,2500,Base,0.6639375,0.6681775766359035,0.6639375,0.6618391787355181,0,32,0.6639867984323431,N/A,no_drifts,synthetic,NB
synthetic_dataset_no_drifts,2500,KS95,0.6633375,0.668051403468282,0.6633375,0.6609952106978768,1,32,0.66338951694903,N/A,no_drifts,synthetic,NB
synthetic_dataset_no_drifts,2500,KS90,0.6633375,0.668051403468282,0.6633375,0.6609952106978768,1,32,0.66338951694903,N/A,no_drifts,synthetic,NB
synthetic_dataset_no_drifts,2500,HD,0.6625,0.6672347608620183,0.6625,0.6601297868154856,1,32,0.6625522588094761,N/A,no_drifts,synthetic,NB
synthetic_dataset_no_drifts,2500,JS,0.6622625,0.6671877155268213,0.6622625,0.6597930886594809,2,32,0.6623158134046145,N/A,no_drifts,synthetic,NB
