dataset,batch_size,technique,accuracy,precision,recall,f1,num_drifts,num_batches,auc,drift_alignment_with_batch,scenario,type_of_dataset,algorithm
synthetic_dataset_with_parallel_drifts_incremental,1000,Base,0.6569,0.6638446082582435,0.6569,0.6532707563237927,0,80,0.6569640066265651,1.0,parallel_incremental,synthetic,NB
synthetic_dataset_with_parallel_drifts_incremental,1000,KS95,0.66235,0.6695955766538393,0.66235,0.6587483548518851,12,80,0.662414274380576,1.0,parallel_incremental,synthetic,NB
synthetic_dataset_with_parallel_drifts_incremental,1000,KS90,0.6647625,0.6703283747665156,0.6647625,0.6620388704604023,14,80,0.6648186737572944,1.0,parallel_incremental,synthetic,NB
synthetic_dataset_with_parallel_drifts_incremental,1000,HD,0.659875,0.6736885590457916,0.659875,0.6530349850210301,4,80,0.6599628202979766,1.0,parallel_incremental,synthetic,NB
synthetic_dataset_with_parallel_drifts_incremental,1000,JS,0.659875,0.6736885590457916,0.659875,0.6530349850210301,4,80,0.6599628202979766,1.0,parallel_incremental,synthetic,NB
synthetic_dataset_with_parallel_drifts_incremental,1500,Base,0.656,0.6626625631101104,0.656,0.6524859079048125,0,53,0.6560629125245752,1.0,parallel_incremental,synthetic,NB
synthetic_dataset_with_parallel_drifts_incremental,1500,KS95,0.6609625,0.6693002251511145,0.6609625,0.6567834307180268,9,53,0.661031531652942,1.0,parallel_incremental,synthetic,NB
synthetic_dataset_with_parallel_drifts_incremental,1500,KS90,0.6640375,0.6695949901519959,0.6640375,0.6613003120724538,11,53,0.6640937515991217,1.0,parallel_incremental,synthetic,NB
synthetic_dataset_with_parallel_drifts_incremental,1500,HD,0.6587625,0.6679198467815997,0.6587625,0.6540963468146279,7,53,0.6588351557949826,1.0,parallel_incremental,synthetic,NB
synthetic_dataset_with_parallel_drifts_incremental,1500,JS,0.6586625,0.6678763867204328,0.6586625,0.6539643771747504,6,53,0.6587353901310118,1.0,parallel_incremental,synthetic,NB
synthetic_dataset_with_parallel_drifts_incremental,2000,Base,0.65645,0.662846071969295,0.65645,0.6530869655228118,0,40,0.6565116001998438,1.0,parallel_incremental,synthetic,NB
synthetic_dataset_with_parallel_drifts_incremental,2000,KS95,0.6619625,0.6680668045903106,0.6619625,0.6589053610589596,7,40,0.6620217351647403,1.0,parallel_incremental,synthetic,NB
synthetic_dataset_with_parallel_drifts_incremental,2000,KS90,0.6635875,0.668173347507529,0.6635875,0.6613130947579248,8,40,0.6636387826713994,1.0,parallel_incremental,synthetic,NB
synthetic_dataset_with_parallel_drifts_incremental,2000,HD,0.6576125,0.6659886004964028,0.6576125,0.6532869342089852,5,40,0.6576823740946774,1.0,parallel_incremental,synthetic,NB
synthetic_dataset_with_parallel_drifts_incremental,2000,JS,0.6576125,0.6659886004964028,0.6576125,0.6532869342089852,5,40,0.6576823740946774,1.0,parallel_incremental,synthetic,NB
synthetic_dataset_with_parallel_drifts_incremental,2500,Base,0.6559625,0.6621743578711068,0.6559625,0.65267961716333,0,32,0.656023326571612,1.0,parallel_incremental,synthetic,NB
synthetic_dataset_with_parallel_drifts_incremental,2500,KS95,0.658425,0.6669726663993369,0.658425,0.6540458860654613,7,32,0.6584953822247587,1.0,parallel_incremental,synthetic,NB
synthetic_dataset_with_parallel_drifts_incremental,2500,KS90,0.658425,0.6669726663993369,0.658425,0.6540458860654613,7,32,0.6584953822247587,1.0,parallel_incremental,synthetic,NB
synthetic_dataset_with_parallel_drifts_incremental,2500,HD,0.65555,0.665329705493444,0.65555,0.6504334739109998,2,32,0.6556256779787805,1.0,parallel_incremental,synthetic,NB
synthetic_dataset_with_parallel_drifts_incremental,2500,JS,0.65555,0.665329705493444,0.65555,0.6504334739109998,2,32,0.6556256779787805,1.0,parallel_incremental,synthetic,NB
