dataset,batch_size,technique,accuracy,precision,recall,f1,num_drifts,num_batches,auc,drift_alignment_with_batch,scenario,type_of_dataset,algorithm
synthetic_dataset_with_switching_drifts_abrupt,1000,Base,0.649425,0.6567355431264834,0.649425,0.6453391399754554,0,80,0.649492144332869,1.0,switching_abrupt,synthetic,NB
synthetic_dataset_with_switching_drifts_abrupt,1000,KS95,0.664225,0.6673809796868382,0.664225,0.6626635343293127,21,80,0.6642675876045264,1.0,switching_abrupt,synthetic,NB
synthetic_dataset_with_switching_drifts_abrupt,1000,KS90,0.664225,0.6673809796868382,0.664225,0.6626635343293127,21,80,0.6642675876045264,1.0,switching_abrupt,synthetic,NB
synthetic_dataset_with_switching_drifts_abrupt,1000,HD,0.66075,0.6680559695299069,0.66075,0.6570669192250882,16,80,0.6608148362557954,1.0,switching_abrupt,synthetic,NB
synthetic_dataset_with_switching_drifts_abrupt,1000,JS,0.66075,0.6680559695299069,0.66075,0.6570669192250882,16,80,0.6608148362557954,1.0,switching_abrupt,synthetic,NB
synthetic_dataset_with_switching_drifts_abrupt,1500,Base,0.6475125,0.654110354963124,0.6475125,0.6437479613828025,0,53,0.6475768076471905,1.0,switching_abrupt,synthetic,NB
synthetic_dataset_with_switching_drifts_abrupt,1500,KS95,0.6581125,0.6616007907672916,0.6581125,0.6562897555507511,23,53,0.658158077405499,1.0,switching_abrupt,synthetic,NB
synthetic_dataset_with_switching_drifts_abrupt,1500,KS90,0.65865,0.6617892449949997,0.65865,0.6570165678092988,24,53,0.6586931948020293,1.0,switching_abrupt,synthetic,NB
synthetic_dataset_with_switching_drifts_abrupt,1500,HD,0.6570125,0.6613018967695476,0.6570125,0.6547530719695124,13,53,0.6570631238527828,1.0,switching_abrupt,synthetic,NB
synthetic_dataset_with_switching_drifts_abrupt,1500,JS,0.6570125,0.6613018967695476,0.6570125,0.6547530719695124,13,53,0.6570631238527828,1.0,switching_abrupt,synthetic,NB
synthetic_dataset_with_switching_drifts_abrupt,2000,Base,0.644975,0.650844586156243,0.644975,0.6415351830530124,0,40,0.6450362832172982,1.0,switching_abrupt,synthetic,NB
synthetic_dataset_with_switching_drifts_abrupt,2000,KS95,0.652275,0.6563960415552064,0.652275,0.6500063974329194,19,40,0.6523253798146015,1.0,switching_abrupt,synthetic,NB
synthetic_dataset_with_switching_drifts_abrupt,2000,KS90,0.652125,0.6563733340338562,0.652125,0.6497839216272081,20,40,0.6521761610063128,1.0,switching_abrupt,synthetic,NB
synthetic_dataset_with_switching_drifts_abrupt,2000,HD,0.6514625,0.6547435960684174,0.6514625,0.6496387677841403,13,40,0.651507652932677,1.0,switching_abrupt,synthetic,NB
synthetic_dataset_with_switching_drifts_abrupt,2000,JS,0.6514625,0.6547435960684174,0.6514625,0.6496387677841403,13,40,0.651507652932677,1.0,switching_abrupt,synthetic,NB
synthetic_dataset_with_switching_drifts_abrupt,2500,Base,0.643675,0.6493252154531304,0.643675,0.640319727546503,0,32,0.6437354233341497,1.0,switching_abrupt,synthetic,NB
synthetic_dataset_with_switching_drifts_abrupt,2500,KS95,0.6515375,0.6541739482569199,0.6515375,0.650071629295132,17,32,0.6515780123351611,1.0,switching_abrupt,synthetic,NB
synthetic_dataset_with_switching_drifts_abrupt,2500,KS90,0.6515375,0.6541739482569199,0.6515375,0.650071629295132,17,32,0.6515780123351611,1.0,switching_abrupt,synthetic,NB
synthetic_dataset_with_switching_drifts_abrupt,2500,HD,0.6472,0.654894439345823,0.6472,0.642816311344737,4,32,0.6472692997145701,1.0,switching_abrupt,synthetic,NB
synthetic_dataset_with_switching_drifts_abrupt,2500,JS,0.6472,0.654894439345823,0.6472,0.642816311344737,4,32,0.6472692997145701,1.0,switching_abrupt,synthetic,NB
