dataset,batch_size,technique,accuracy,precision,recall,f1,num_drifts,num_batches,auc,drift_alignment_with_batch,scenario,type_of_dataset,algorithm
synthetic_dataset_with_switching_drifts_incremental,1000,Base,0.6629375,0.6680930866654287,0.6629375,0.6603699664028483,0,80,0.6629919074187138,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,1000,KS95,0.668725,0.6741834645516059,0.668725,0.6661449390814759,30,80,0.6687800112421919,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,1000,KS90,0.668725,0.6741834645516059,0.668725,0.6661449390814759,30,80,0.6687800112421919,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,1000,HD,0.6675875,0.6728481159487514,0.6675875,0.6650744233818215,17,80,0.6676417061100414,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,1000,JS,0.6662125,0.6728636385904035,0.6662125,0.6630108669990767,16,80,0.6662734868255809,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,1500,Base,0.6627375,0.6675914230068182,0.6627375,0.6603136501739618,0,53,0.6627903604649845,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,1500,KS95,0.666475,0.6716348987938465,0.666475,0.6639849393164737,24,53,0.6665288697378396,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,1500,KS90,0.666975,0.671723429872953,0.666975,0.66469087721384,25,53,0.6670266511822855,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,1500,HD,0.6661125,0.670782815247826,0.6661125,0.6638482274589643,15,53,0.6661638617827585,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,1500,JS,0.6661125,0.670782815247826,0.6661125,0.6638482274589643,15,53,0.6661638617827585,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,2000,Base,0.662375,0.6670628807824398,0.662375,0.6600253027950431,0,40,0.6624270243855563,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,2000,KS95,0.6656875,0.670571811302193,0.6656875,0.663311986506973,19,40,0.6657400647422128,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,2000,KS90,0.665575,0.670526055992927,0.665575,0.66316509084325,20,40,0.6656279318859109,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,2000,HD,0.6646625,0.6690738223422698,0.6646625,0.6624944982019997,11,40,0.6647126580908821,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,2000,JS,0.664025,0.6684712641157272,0.664025,0.6618275720034472,10,40,0.6640754469044714,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,2500,Base,0.6622125,0.6669780763242658,0.6622125,0.6598209193530391,0,32,0.6622649696347538,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,2500,KS95,0.6658,0.6695852394277508,0.6658,0.6639555842932594,18,32,0.6658463694712381,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,2500,KS90,0.6658,0.6695852394277508,0.6658,0.6639555842932594,18,32,0.6658463694712381,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,2500,HD,0.6631375,0.6665915901516172,0.6631375,0.6614127137732301,10,32,0.6631821731180364,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,2500,JS,0.664625,0.667506763808142,0.664625,0.6632037676432327,10,32,0.6646656658850257,1.0,switching_incremental,synthetic,NB
