dataset,batch_size,technique,phase,duration_seconds,type
synthetic_dataset_with_parallel_drifts_abrupt,1000,HDDDM,drift_detection,0.4251397909829393,technique_timing
synthetic_dataset_with_parallel_drifts_abrupt,1000,KSDDM_95,drift_detection,1.8963386249961331,technique_timing
synthetic_dataset_with_parallel_drifts_abrupt,1000,KSDDM_90,drift_detection,1.738484708010219,technique_timing
synthetic_dataset_with_parallel_drifts_abrupt,1000,JSDDM,drift_detection,0.37455824998323806,technique_timing
synthetic_dataset_with_parallel_drifts_abrupt,1500,HDDDM,drift_detection,0.3377567080024164,technique_timing
synthetic_dataset_with_parallel_drifts_abrupt,1500,KSDDM_95,drift_detection,1.3384385829849634,technique_timing
synthetic_dataset_with_parallel_drifts_abrupt,1500,KSDDM_90,drift_detection,1.318551624979591,technique_timing
synthetic_dataset_with_parallel_drifts_abrupt,1500,JSDDM,drift_detection,0.3195058749988675,technique_timing
synthetic_dataset_with_parallel_drifts_abrupt,2000,HDDDM,drift_detection,0.3817351250036154,technique_timing
synthetic_dataset_with_parallel_drifts_abrupt,2000,KSDDM_95,drift_detection,1.207476667012088,technique_timing
synthetic_dataset_with_parallel_drifts_abrupt,2000,KSDDM_90,drift_detection,1.079692208004417,technique_timing
synthetic_dataset_with_parallel_drifts_abrupt,2000,JSDDM,drift_detection,0.26868375000776723,technique_timing
synthetic_dataset_with_parallel_drifts_abrupt,2500,HDDDM,drift_detection,0.270203499996569,technique_timing
synthetic_dataset_with_parallel_drifts_abrupt,2500,KSDDM_95,drift_detection,1.4142785830190405,technique_timing
synthetic_dataset_with_parallel_drifts_abrupt,2500,KSDDM_90,drift_detection,1.3806953750026878,technique_timing
synthetic_dataset_with_parallel_drifts_abrupt,2500,JSDDM,drift_detection,0.32646187499631196,technique_timing
synthetic_dataset_with_switching_drifts_incremental,1000,HDDDM,drift_detection,0.43403087501064874,technique_timing
synthetic_dataset_with_switching_drifts_incremental,1000,KSDDM_95,drift_detection,1.2629277079831809,technique_timing
synthetic_dataset_with_switching_drifts_incremental,1000,KSDDM_90,drift_detection,1.184246416989481,technique_timing
synthetic_dataset_with_switching_drifts_incremental,1000,JSDDM,drift_detection,0.39263566699810326,technique_timing
synthetic_dataset_with_switching_drifts_incremental,1500,HDDDM,drift_detection,0.36738316700211726,technique_timing
synthetic_dataset_with_switching_drifts_incremental,1500,KSDDM_95,drift_detection,0.9668599159922451,technique_timing
synthetic_dataset_with_switching_drifts_incremental,1500,KSDDM_90,drift_detection,1.0723658750066534,technique_timing
synthetic_dataset_with_switching_drifts_incremental,1500,JSDDM,drift_detection,0.33624812500784174,technique_timing
synthetic_dataset_with_switching_drifts_incremental,2000,HDDDM,drift_detection,0.3269150420092046,technique_timing
synthetic_dataset_with_switching_drifts_incremental,2000,KSDDM_95,drift_detection,1.0493444160092622,technique_timing
