dataset,batch_size,drift_detection_time,evaluation_time,total_time
synthetic_dataset_with_parallel_drifts_abrupt,1000,4.3100784588605165,0.8817492499947548,5.191827708855271
synthetic_dataset_with_parallel_drifts_abrupt,1500,3.250919541809708,0.7916608329396695,4.042580374749377
synthetic_dataset_with_parallel_drifts_abrupt,2000,2.861450750147924,0.7368628750555217,3.5983136252034456
synthetic_dataset_with_parallel_drifts_abrupt,2500,3.294122542021796,0.7191537918988615,4.013276333920658
synthetic_dataset_with_switching_drifts_incremental,1000,3.2722000000067055,0.9831168327946216,4.255316832801327
synthetic_dataset_with_switching_drifts_incremental,1500,2.7283040420152247,0.8625240421388298,3.5908280841540545
synthetic_dataset_with_switching_drifts_incremental,2000,2.700086334021762,0.7983132919762284,3.4983996259979904
synthetic_dataset_with_switching_drifts_incremental,2500,2.3577328748069704,0.7454417918343097,3.10317466664128
synthetic_dataset_with_parallel_drifts_incremental,1000,4.270037250127643,0.9274348749313504,5.197472125058994
synthetic_dataset_with_parallel_drifts_incremental,1500,3.262002999894321,0.9397920828778297,4.201795082772151
synthetic_dataset_with_parallel_drifts_incremental,2000,2.834332291968167,0.7740427090320736,3.6083750010002404
synthetic_dataset_with_parallel_drifts_incremental,2500,3.056657249806449,0.728304916061461,3.78496216586791
synthetic_dataset_with_switching_drifts_abrupt,1000,3.6376530828420073,1.0328072090633214,4.670460291905329
synthetic_dataset_with_switching_drifts_abrupt,1500,2.9249912090599537,0.8555959169752896,3.7805871260352433
synthetic_dataset_with_switching_drifts_abrupt,2000,3.0124850829597563,0.8044275420252234,3.8169126249849796
synthetic_dataset_with_switching_drifts_abrupt,2500,2.8227729159407318,0.737850375007838,3.5606232909485698
synthetic_dataset_no_drifts,1000,4.575878165895119,0.9277939589228481,5.503672124817967
synthetic_dataset_no_drifts,1500,3.804652291117236,0.8326873749028891,4.637339666020125
synthetic_dataset_no_drifts,2000,3.1672843750566244,0.7569108339957893,3.9241952090524137
synthetic_dataset_no_drifts,2500,2.9710017079487443,0.693310750182718,3.6643124581314623
MULTISTAGGER,1000,2.1463136659003794,0.7959390410687774,2.942252706969157
MULTISTAGGER,1500,1.7135357500519603,0.7326615829952061,2.4461973330471665
MULTISTAGGER,2000,1.5939085001591593,0.6998312079813331,2.2937397081404924
MULTISTAGGER,2500,1.4873271251562983,0.6801870840135962,2.1675142091698945
MULTISEA,1000,2.246012708172202,0.6611844170838594,2.9071971252560616
MULTISEA,1500,1.8872858339454979,0.6066887499764562,2.493974583921954
MULTISEA,2000,1.8419988749083132,0.6050997080747038,2.447098582983017
MULTISEA,2500,1.7926799161359668,0.5971414169762284,2.389821333112195
SEA,1000,2.3852390409447253,0.8274464590940624,3.2126855000387877
SEA,1500,2.193282207939774,0.718711500056088,2.9119937079958618
SEA,2000,1.9243515830021352,0.7644593329168856,2.6888109159190208
SEA,2500,1.6140999579802155,0.6114417079370469,2.2255416659172624
STAGGER,1000,2.203463749960065,0.8619866669178009,3.065450416877866
STAGGER,1500,1.8171040420420468,0.7830397910438478,2.6001438330858946
STAGGER,2000,1.699691749876365,0.749079667031765,2.44877141690813
STAGGER,2500,1.504073791904375,0.7459487500600517,2.2500225419644266
electricity,1000,2.125279000028968,0.5327838328666985,2.6580628328956664
electricity,1500,1.780973541783169,0.4536817080806941,2.234655249863863
electricity,2000,1.7315054161008447,0.4148781660478562,2.146383582148701
electricity,2500,1.636563542066142,0.39682099991478026,2.0333845419809222
magic,1000,1.50456608296372,0.25196429109200835,1.7565303740557283
magic,1500,1.3031989592127502,0.2242017921525985,1.5274007513653487
magic,2000,1.1846523338463157,0.23906395817175508,1.4237162920180708
magic,2500,1.2206671249587089,0.21352329198271036,1.4341904169414192
Abrupt (imbal.),1000,89.90547037520446,25.59862699988298,115.50409737508744
Abrupt (imbal.),1500,72.5910585001111,26.417459500022233,99.00851800013334
Abrupt (imbal.),2000,69.45580962486565,28.141966165974736,97.59777579084039
Abrupt (imbal.),2500,70.50266774999909,25.28303137491457,95.78569912491366
Abrupt (bal.),1000,13.147481583058834,4.315301374997944,17.462782958056778
Abrupt (bal.),1500,11.824230832979083,4.845908709103242,16.670139542082325
Abrupt (bal.),2000,11.45354820904322,4.464955999981612,15.918504209024832
Abrupt (bal.),2500,10.195497791981325,4.380960416980088,14.576458208961412
Incremental (bal.),1000,11.056583208031952,3.006366250105202,14.062949458137155
Incremental (bal.),1500,9.888603624887764,3.662406791932881,13.551010416820645
Incremental (bal.),2000,8.930855541024357,3.3145996669773012,12.245455208001658
Incremental (bal.),2500,8.565818125149235,3.2577412920072675,11.823559417156503
Incremental (imbal.),1000,112.6765500002075,24.615699499845505,137.292249500053
Incremental (imbal.),1500,96.71282295905985,25.036896291887388,121.74971925094724
Incremental (imbal.),2000,77.47852720809169,24.265158167108893,101.74368537520058
Incremental (imbal.),2500,74.3418920841068,23.737652708077803,98.0795447921846
Incremental-gradual (bal.),1000,5.350284583168104,1.27424362488091,6.624528208049014
Incremental-gradual (bal.),1500,6.154114415869117,1.5915387079585344,7.745653123827651
Incremental-gradual (bal.),2000,5.286804415984079,1.4912222500424832,6.7780266660265625
Incremental-gradual (bal.),2500,5.4791210000403225,1.5088504999876022,6.987971500027925
Incremental-gradual (imbal.),1000,29.65854858304374,7.686583041911945,37.345131624955684
Incremental-gradual (imbal.),1500,24.945515375118703,7.96078283386305,32.90629820898175
Incremental-gradual (imbal.),2000,23.336569083156064,7.961924665840343,31.298493748996407
Incremental-gradual (imbal.),2500,22.22535291593522,7.9280640000943094,30.153416916029528
Incremental-abrupt-reoccurring (bal.),1000,10.786855166079476,2.9346698340959847,13.721525000175461
Incremental-abrupt-reoccurring (bal.),1500,9.369748166995123,3.5589341251179576,12.92868229211308
Incremental-abrupt-reoccurring (bal.),2000,10.47363324998878,3.1587886661291122,13.632421916117892
Incremental-abrupt-reoccurring (bal.),2500,8.507109666941687,3.069457583129406,11.576567250071093
Incremental-abrupt-reoccurring (imbal.),1000,84.64448537491262,19.194580791983753,103.83906616689637
Incremental-abrupt-reoccurring (imbal.),1500,65.83633820898831,19.87652491615154,85.71286312513985
Incremental-abrupt-reoccurring (imbal.),2000,61.41630583303049,19.668198791798204,81.0845046248287
Incremental-abrupt-reoccurring (imbal.),2500,59.87310166587122,19.01362400013022,78.88672566600144
Incremental-reoccurring (bal.),1000,12.686355125159025,4.316935084061697,17.003290209220722
Incremental-reoccurring (bal.),1500,11.761525458889082,5.067086667055264,16.828612125944346
Incremental-reoccurring (bal.),2000,9.837459957925603,4.721581042045727,14.55904099997133
Incremental-reoccurring (bal.),2500,11.891289500053972,4.710127209080383,16.601416709134355
Incremental-reoccurring (imbal.),1000,86.56655716593377,25.547611665911973,112.11416883184575
Incremental-reoccurring (imbal.),1500,72.1543667500373,26.925910709192976,99.08027745923027
Incremental-reoccurring (imbal.),2000,71.77787400013767,25.779765042010695,97.55763904214837
Incremental-reoccurring (imbal.),2500,65.99479120899923,25.0810708750505,91.07586208404973
