,,duration_seconds,duration_seconds,duration_seconds,duration_seconds,duration_seconds
,,mean,std,min,max,count
technique,batch_size,,,,,
HDDDM,1000,2.6191,3.7356,0.2546,10.9437,21
HDDDM,1500,2.1875,3.0597,0.2081,8.6887,21
HDDDM,2000,1.9601,2.7432,0.1898,7.7924,21
HDDDM,2500,1.8667,2.6616,0.1941,8.2169,21
JSDDM,1000,2.2775,3.175,0.2403,9.5434,21
JSDDM,1500,1.8968,2.663,0.1956,7.9664,21
JSDDM,2000,1.7208,2.3738,0.1876,6.8027,21
JSDDM,2500,1.622,2.2642,0.1658,6.6819,21
KSDDM_90,1000,8.5605,13.1991,0.4784,39.2363,21
KSDDM_90,1500,7.1258,10.8937,0.4751,35.151,21
KSDDM_90,2000,6.7521,10.1866,0.4114,29.0711,21
KSDDM_90,2500,6.7525,10.2357,0.4057,30.4669,21
KSDDM_95,1000,9.8359,15.7986,0.5312,52.9531,21
KSDDM_95,1500,8.2137,13.0041,0.4243,44.9067,21
KSDDM_95,2000,7.3764,11.3184,0.3957,33.9163,21
KSDDM_95,2500,6.9651,10.5555,0.455,30.72,21
